age_group,education,gender,nationality,electoral_district,unit,EKRE,Eesti 200,Hard to say,Isamaa,Keskerakond,Mitte ükski erakond,Other,Parempoolsed,Reformierakond,Rohelised,SDE,N
45-54,Higher education,Female,Other,Harju- ja Raplamaa,Harjumaa,0,2,2,0,0,2,0,0,0,0,0,6
45-54,Higher education,Female,Other,Ida-Virumaa,Ida-Virumaa,4,1,0,0,3,3,0,0,1,0,0,12
45-54,Higher education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,0,0,0,0,0,0,0,0,0,0,1,1
45-54,Higher education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,0,0,0,0,0,1,0,0,0,0,0,1
45-54,Higher education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,0,0,1,0,0,0,0,0,0,0,0,1
45-54,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,0,1,2,0,2,1,0,0,0,0,1,7
45-54,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,0,0,0,0,1,0,0,0,0,0,0,1
45-54,Higher education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,0,0,0,0,0,0,0,0,1,0,0,1
45-54,Higher education,Female,Other,Mustamäe ja Nõmme,Mustamäe,1,0,2,0,1,0,1,0,0,0,0,5
45-54,Higher education,Female,Other,Mustamäe ja Nõmme,Nõmme,0,0,0,0,0,0,0,0,0,1,0,1
45-54,Higher education,Female,Other,Pärnumaa,Pärnumaa,0,0,0,0,1,0,0,0,0,0,0,1
45-54,Higher education,Female,Other,Tartu linn,Tartu linn,0,0,1,0,1,2,0,0,0,0,0,4
45-54,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,0,0,0,0,0,1,0,0,0,0,0,1
45-54,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,0,0,0,0,0,1,0,0,0,0,0,1
45-54,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,0,0,0,3,0,0,0,0,3,0,0,6
45-54,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,2,0,1,2,0,0,0,0,1,0,0,6
45-54,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,0,0,0,1,0,0,0,0,1,0,0,2
45-54,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,5,3,1,0,0,3,0,1,11,0,0,24
45-54,Higher education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,0,1,0,1,0,0,0,0,0,0,1,3
45-54,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,0,0,0,0,0,1,0,0,1,0,0,2
45-54,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,0,1,1,1,0,2,0,0,0,0,2,7
45-54,Higher education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,1,0,0,0,2,1,0,0,1,0,0,5
45-54,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,1,0,0,1,0,1,0,0,0,0,0,3
45-54,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,1,0,0,1,0,0,0,0,1,0,0,3
45-54,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1,0,2,0,0,0,1,0,0,0,0,4
45-54,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,0,1,0,0,0,0,0,0,3,0,0,4
45-54,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,1,1,2,1,0,0,0,0,6,0,0,11
45-54,Higher education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,0,0,1,0,1,0,0,0,0,0,1,3
45-54,Higher education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,0,3,0,0,0,1,0,0,2,0,1,7
45-54,Higher education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,1,1,1,2,0,2,0,0,1,0,0,8
45-54,Higher education,Male,Estonian,Pärnumaa,Pärnumaa,0,1,1,1,0,0,0,0,1,0,0,4
45-54,Higher education,Male,Estonian,Tartu linn,Tartu linn,1,2,1,1,0,0,0,0,7,0,1,13
45-54,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,0,0,0,0,0,0,0,0,1,0,0,1
45-54,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,1,0,0,0,0,0,0,0,2,0,0,3
45-54,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,1,1,0,0,1,0,0,0,0,0,0,3
45-54,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,0,1,0,0,0,1,0,0,0,0,0,2
45-54,Higher education,Male,Other,Harju- ja Raplamaa,Harjumaa,0,1,0,0,0,2,0,0,0,0,0,3
45-54,Higher education,Male,Other,Ida-Virumaa,Ida-Virumaa,0,0,1,0,0,1,0,0,0,0,0,2
45-54,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,0,0,0,0,1,2,0,0,0,0,0,3
45-54,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,2,0,0,0,0,1,0,0,0,0,0,3
45-54,Higher education,Male,Other,Mustamäe ja Nõmme,Mustamäe,0,0,0,0,0,1,0,0,0,0,0,1
45-54,Higher education,Male,Other,Pärnumaa,Pärnumaa,0,0,0,0,0,1,0,0,0,0,1,2
45-54,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,1,0,0,0,0,0,0,0,0,0,0,1
45-54,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,0,0,0,0,0,1,0,0,0,0,1,2
45-54,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,0,0,1,0,0,1,0,0,0,0,0,2
45-54,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,0,1,0,0,0,0,0,0,3,0,1,5
45-54,Secondary education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,2,2,5,2,0,5,0,0,2,0,0,18
45-54,Secondary education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,2,0,1,0,0,2,0,0,0,0,0,5
45-54,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,1,0,0,0,0,1,0,0,0,0,0,2
45-54,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,0,1,2,0,0,3,0,0,2,0,0,8
45-54,Secondary education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,0,1,2,0,0,2,0,0,0,0,0,5
45-54,Secondary education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,1,0,0,0,0,1,0,0,1,0,0,3
